Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Phoenix Coyotes,20012002,82,40,27,9,6,95,0.579,36,40,0,228,210,2.78,2.56,15.6,83.2,13.8,85.4,26.6,28.6,48.2
San Jose Sharks,20002001,82,40,27,12,3,95,0.579,33,40,0,217,192,2.65,2.34,14,86.2,11.6,88,27.6,26.5,48.3
Colorado Avalanche,19971998,82,39,26,17,--,95,0.579,37,39,0,231,205,2.82,2.5,17.4,87,14.6,89,27.9,29.5,47.9
Calgary Flames,20162017,82,45,33,--,4,94,0.573,32,41,4,222,219,2.71,2.67,20.2,81.6,18.3,84.5,29.1,28.7,48.9
Boston Bruins,19871988,80,44,30,6,--,94,0.588,40,44,0,300,251,3.75,3.14,16.6,83.5,14.4,86.8,32.4,27.2,--
Ottawa Senators,20092010,82,44,32,--,6,94,0.573,34,39,5,220,233,2.68,2.84,16.9,84.3,15.5,86.2,29.7,28.5,49.3
St. Louis Blues,20172018,82,44,32,--,6,94,0.573,33,41,3,223,222,2.72,2.71,15.5,79.7,11.8,81.8,32.6,29.7,50.6
Ottawa Senators,20072008,82,43,31,--,8,94,0.573,37,40,3,258,242,3.15,2.95,18.3,81.1,16.5,85.8,30.1,30,51.7
Washington Capitals,20072008,82,43,31,--,8,94,0.573,32,39,4,238,227,2.9,2.77,18.8,80.5,16.5,82,31,27.5,51.2
Vegas Golden Knights,20212022,82,43,31,--,8,94,0.573,34,39,4,262,244,3.2,2.98,18.4,77.4,15.1,82.2,34.5,30,49.3
New York Rangers,20062007,82,42,30,--,10,94,0.573,30,33,9,233,211,2.84,2.57,18.5,83.8,17,86.5,31.5,28.4,49.9
Philadelphia Flyers,20132014,82,42,30,--,10,94,0.573,35,39,3,233,227,2.84,2.77,19.7,84.8,16,87.3,30.4,30.6,50
Montréal Canadiens,19671968,74,42,22,10,--,94,0.635,42,42,0,236,167,3.19,2.26,--,--,--,--,31.4,27,--
Tampa Bay Lightning,20162017,82,42,30,--,10,94,0.573,32,38,4,230,224,2.8,2.73,22.8,81.4,19.9,83,29.9,30.4,47.7
St. Louis Blues,20192020,71,42,19,--,10,94,0.662,33,40,2,223,190,3.14,2.68,24.3,79.3,21.3,81.8,30.7,29.6,51.6
Calgary Flames,20072008,82,42,30,--,10,94,0.573,36,39,3,226,224,2.76,2.73,16.8,81.5,14.5,83.8,28.2,28.5,49.5
Calgary Flames,20032004,82,42,30,7,3,94,0.573,39,42,0,200,176,2.44,2.15,15.1,84.7,14.6,87.9,27.4,25.5,50.7
Vancouver Canucks,20012002,82,42,30,7,3,94,0.573,38,42,0,254,211,3.1,2.57,18.6,85.2,16.1,86,28.4,25.4,50.7
Quebec Nordiques,19831984,80,42,28,10,--,94,0.588,42,42,0,360,278,4.5,3.48,22,80.8,18.8,83.8,28.6,28.2,--
New York Islanders,20162017,82,41,29,--,12,94,0.573,33,39,2,239,238,2.91,2.9,15,81.9,12,84.1,30.2,31.9,47.7
Boston Bruins,20072008,82,41,29,--,12,94,0.573,32,35,6,206,215,2.51,2.62,17.6,78.6,15.7,81.3,28.5,30.5,49.1
Montréal Canadiens,19841985,80,41,27,12,--,94,0.588,38,41,0,309,262,3.86,3.28,24,79.2,21.5,83.6,30.2,24.7,--
Chicago Blackhawks,19661967,70,41,17,12,--,94,0.671,41,41,0,264,170,3.77,2.43,--,--,--,--,31.5,31.3,--
Nashville Predators,20162017,82,41,29,--,12,94,0.573,35,39,2,238,220,2.9,2.68,18.9,80.9,16.6,85.9,31.2,30.1,51.4
Calgary Flames,19841985,80,41,27,12,--,94,0.588,40,41,0,363,302,4.54,3.78,24.8,74.2,18.2,78,34.9,31.2,--
Calgary Flames,20102011,82,41,29,--,12,94,0.573,30,32,9,241,230,2.94,2.8,19.5,81.2,16.7,83.7,30.5,28.5,48.2
New York Rangers,19731974,78,40,24,14,--,94,0.603,40,40,0,300,251,3.85,3.22,--,--,--,--,33.1,28.7,--
Boston Bruins,19741975,80,40,26,14,--,94,0.588,40,40,0,345,245,4.31,3.06,--,--,--,--,34.9,27.9,--
Chicago Blackhawks,19951996,82,40,28,14,--,94,0.573,39,40,0,273,220,3.33,2.68,17.7,85.5,15.7,88.4,27.3,28.5,--
New York Islanders,20232024,82,39,27,--,16,94,0.573,29,38,1,245,258,2.99,3.15,20.4,71.5,19.1,76,30.1,32.8,51.3
Ottawa Senators,20012002,82,39,27,9,7,94,0.573,36,39,0,243,208,2.96,2.54,16.6,84.4,15.1,88,30.1,25.9,50.1
Washington Capitals,19821983,80,39,25,16,--,94,0.588,39,39,0,306,283,3.83,3.54,21.1,81.4,18,82.5,30.6,28.7,--
Los Angeles Kings,19992000,82,39,27,12,4,94,0.573,34,39,0,245,228,2.99,2.78,16.9,82.3,13.5,83.4,29.5,27.9,51.8
Florida Panthers,20112012,82,38,26,--,18,94,0.573,31,32,6,197,216,2.4,2.63,18.5,79.5,16.4,81.2,29.7,30.5,50.6
Detroit Red Wings,19961997,82,38,26,18,--,94,0.573,31,38,0,253,197,3.09,2.4,17.9,86.7,15.8,89.6,33.2,25.3,--
Minnesota North Stars,19811982,80,37,23,20,--,94,0.588,37,37,0,346,288,4.33,3.6,24.5,81.9,22,85.9,33,32.9,--
New York Rangers,20102011,82,44,33,--,5,93,0.567,32,35,9,224,195,2.73,2.38,16.9,83.7,15.2,87.9,29.9,29.4,47.7
Tampa Bay Lightning,20062007,82,44,33,--,5,93,0.567,29,34,10,243,259,2.96,3.16,18.5,78.4,15.5,83,29.5,27.2,48.9
Washington Capitals,19921993,84,43,34,7,--,93,0.554,41,43,0,325,286,3.87,3.4,21.8,82.9,20,85.2,32.2,28.4,--
Detroit Red Wings,19981999,82,43,32,7,--,93,0.567,41,43,0,245,202,2.99,2.46,16.1,87.3,14.5,91.3,32,27,53.2
Dallas Stars,20182019,82,43,32,--,7,93,0.567,36,42,1,209,200,2.55,2.44,21,82.8,20.1,84.5,30.7,31.6,51.9
Columbus Blue Jackets,20132014,82,43,32,--,7,93,0.567,35,38,5,226,214,2.76,2.61,19.3,82.1,16.4,85.4,29.6,30.8,51.6
Hartford Whalers,19861987,80,43,30,7,--,93,0.581,41,43,0,287,270,3.59,3.38,20.9,78.7,18,82,30.1,28,--
Vegas Golden Knights,20182019,82,43,32,--,7,93,0.567,36,40,3,246,228,3,2.78,16.8,80.9,16,85.7,34.3,29.3,50.4
New York Islanders,20222023,82,42,31,--,9,93,0.567,36,41,1,242,217,2.95,2.65,15.8,82.2,12.6,84.9,30.8,31,51.7
New York Rangers,19831984,80,42,29,9,--,93,0.581,37,42,0,314,304,3.93,3.8,25.1,78.1,21.4,81.6,31.9,31.6,--
Boston Bruins,20152016,82,42,31,--,9,93,0.567,33,38,4,236,228,2.88,2.78,20.5,82.2,18.8,85.6,32,30.4,50.4
Montréal Canadiens,20052006,82,42,31,--,9,93,0.567,33,40,2,241,244,2.94,2.98,19.2,81.1,17.9,83.2,30.1,30.6,49.3
Chicago Blackhawks,19721973,78,42,27,9,--,93,0.596,42,42,0,284,225,3.64,2.88,--,--,--,--,29.8,30.6,--
Montréal Canadiens,19911992,80,41,28,11,--,93,0.581,35,41,0,267,207,3.34,2.59,19.5,81.3,18.2,82.5,30.5,27.8,--
Montréal Canadiens,19891990,80,41,28,11,--,93,0.581,37,41,0,288,234,3.6,2.93,15.9,80.7,13.8,82,31.1,28.8,--
Montréal Canadiens,19541955,70,41,18,11,--,93,0.664,41,41,0,228,157,3.26,2.24,--,--,--,--,--,--,--
Montréal Canadiens,20082009,82,41,30,--,11,93,0.567,30,34,7,242,240,2.95,2.93,19.3,82.4,16.3,85.1,30,31.7,50.9
Montréal Canadiens,20032004,82,41,30,7,4,93,0.567,36,41,0,208,192,2.54,2.34,17.2,82.5,15.4,84.1,27.7,28.6,51.7
Florida Panthers,20082009,82,41,30,--,11,93,0.567,34,38,3,231,223,2.82,2.72,16.6,82.6,13.6,84.9,29.4,34.7,47.9
Detroit Red Wings,20152016,82,41,30,--,11,93,0.567,30,39,2,209,219,2.55,2.67,18.8,81.6,17.3,82.3,29.7,29.7,50.5
Detroit Red Wings,19871988,80,41,28,11,--,93,0.581,39,41,0,322,269,4.03,3.36,18.8,83.9,16.7,88.3,28.2,30.2,--
Buffalo Sabres,19811982,80,39,26,15,--,93,0.581,39,39,0,307,273,3.84,3.41,21.7,79.3,18.2,80.7,29.3,29,--
Detroit Red Wings,20132014,82,39,28,--,15,93,0.567,30,34,5,217,221,2.65,2.7,17.7,83.1,16,84.1,30,29.3,50.8
Edmonton Oilers,20002001,82,39,28,12,3,93,0.567,34,39,0,243,222,2.96,2.71,14.8,83.8,13.8,87.2,26.2,26.1,51.1
Calgary Flames,20222023,82,38,27,--,17,93,0.567,31,36,2,258,247,3.15,3.01,19.8,82.6,17.5,85.6,36,27.3,50.4
Philadelphia Flyers,19981999,82,37,26,19,--,93,0.567,35,37,0,231,196,2.82,2.39,16.8,84.1,15,85.3,29.9,22.9,55.4
Tampa Bay Lightning,20022003,82,36,25,16,5,93,0.567,34,36,0,219,210,2.67,2.56,17.9,82.6,16.6,84.5,29.2,28,50.2
Carolina Hurricanes,20072008,82,43,33,--,6,92,0.561,36,41,2,250,246,3.05,3,18.8,78.9,15.7,80,32.5,28.9,49.4
Tampa Bay Lightning,20052006,82,43,33,--,6,92,0.561,31,37,6,246,256,3,3.12,16.7,81.5,14.4,84.4,31.6,27.6,50.1
Tampa Bay Lightning,20192020,70,43,21,--,6,92,0.657,35,41,2,243,194,3.47,2.77,23.1,81.4,19.8,84,31.1,30.9,50.5
St. Louis Blues,20232024,82,43,33,--,6,92,0.561,31,38,5,234,248,2.85,3.02,18,79.1,15.2,84.2,28.9,32.1,49.9
Quebec Nordiques,19851986,80,43,31,6,--,92,0.575,39,43,0,330,289,4.13,3.61,23.6,81.3,18.9,84.2,32.4,29.9,--
Florida Panthers,20222023,82,42,32,--,8,92,0.561,36,40,2,288,272,3.51,3.32,22.8,76,19.6,78,36.8,31.7,48.9
Washington Capitals,20112012,82,42,32,--,8,92,0.561,31,38,4,218,226,2.66,2.76,16.7,81.6,12.7,82.7,28,30.2,50
Nashville Predators,20222023,82,42,32,--,8,92,0.561,29,36,6,223,236,2.72,2.88,17.6,82.6,15.2,84.7,29.5,33.3,52.2
Colorado Avalanche,20192020,70,42,20,--,8,92,0.657,37,41,1,236,190,3.37,2.71,19.1,81.4,16.6,85.2,32.2,31.3,49.6
Vancouver Canucks,20052006,82,42,32,--,8,92,0.561,34,38,4,252,251,3.07,3.06,18.3,81.8,16.4,83,28.8,30.1,48.1
Dallas Stars,20172018,82,42,32,--,8,92,0.561,33,38,4,231,222,2.82,2.71,19.3,80.8,15.2,83.3,31.2,29.8,52.5
Montréal Canadiens,19861987,80,41,29,10,--,92,0.575,39,41,0,277,241,3.46,3.01,21,83.3,19.1,85.3,28,27.1,--
Montréal Canadiens,19601961,70,41,19,10,--,92,0.657,41,41,0,254,188,3.63,2.69,--,--,--,--,35.3,29.2,--
Ottawa Senators,20112012,82,41,31,--,10,92,0.561,30,35,6,243,236,2.96,2.88,18.2,81.6,15.6,84.5,31.4,32,50.1
Toronto Maple Leafs,19771978,80,41,29,10,--,92,0.575,41,41,0,271,237,3.39,2.96,21.4,81.4,18.7,83.2,29.7,30.4,--
Florida Panthers,19951996,82,41,31,10,--,92,0.561,41,41,0,254,234,3.1,2.85,17.3,83,14.7,86,28.8,27.9,--
Washington Capitals,19881989,80,41,29,10,--,92,0.575,39,41,0,305,259,3.81,3.24,21.8,79.8,18.8,81.8,31.2,27.6,--
St. Louis Blues,20082009,82,41,31,--,10,92,0.561,31,35,6,227,227,2.77,2.77,20.5,83.8,18.2,86.6,27.7,28.5,49.1
Dallas Stars,20142015,82,41,31,--,10,92,0.561,33,37,4,257,257,3.13,3.13,19,80.7,16.6,84.3,31.2,29.9,51.8
Columbus Blue Jackets,20082009,82,41,31,--,10,92,0.561,30,35,6,220,223,2.68,2.72,12.7,82.1,9,84.4,28.9,27.8,51.2
New York Islanders,20062007,82,40,30,--,12,92,0.561,30,32,8,240,235,2.93,2.87,18.1,81.8,15.5,83.4,30,32.6,51.6
Buffalo Sabres,19961997,82,40,30,12,--,92,0.561,35,40,0,237,208,2.89,2.54,13.2,83.8,12,88.2,25.5,33.3,--
Montréal Canadiens,19591960,70,40,18,12,--,92,0.657,40,40,0,255,178,3.64,2.54,--,--,--,--,35.6,29.8,--
Washington Capitals,19971998,82,40,30,12,--,92,0.561,36,40,0,219,202,2.67,2.46,15.7,89.2,14.6,93.1,27.1,28,52.3
Vancouver Canucks,20212022,82,40,30,--,12,92,0.561,32,37,3,246,231,3,2.82,23.5,74.9,21.1,77.1,32,31.9,52
New York Rangers,19811982,80,39,27,14,--,92,0.575,39,39,0,316,306,3.95,3.83,22.2,76.3,18.3,78.5,28.6,29.5,--
Washington Capitals,20022003,82,39,29,8,6,92,0.561,33,39,0,224,220,2.73,2.68,17.2,81.3,16,83.3,27.1,29.9,49.2
Calgary Flames,19801981,80,39,27,14,--,92,0.575,39,39,0,329,298,4.11,3.73,27.1,80.6,23.1,82.8,27.1,33.2,--
New York Rangers,19691970,76,38,22,16,--,92,0.605,38,38,0,246,189,3.24,2.49,--,--,--,--,36,28.1,--
Montréal Canadiens,19691970,76,38,22,16,--,92,0.605,38,38,0,244,201,3.21,2.64,--,--,--,--,34.1,31.3,--
Edmonton Oilers,20012002,82,38,28,12,4,92,0.561,35,38,0,205,182,2.5,2.22,15.3,85.6,13.2,89.1,27.5,25.9,50.4
Los Angeles Kings,20002001,82,38,28,13,3,92,0.561,35,38,0,252,228,3.07,2.78,19.4,81.2,17.7,84.8,27.9,26.3,50.7
Edmonton Oilers,20022003,82,36,26,11,9,92,0.561,29,36,0,231,230,2.82,2.8,14.5,82.6,12.4,86.3,28,27.4,51.1
Buffalo Sabres,20222023,82,42,33,--,7,91,0.555,30,39,3,293,297,3.57,3.62,23.4,73,20.8,77,32.5,33,45.1
Anaheim Ducks,20082009,82,42,33,--,7,91,0.555,30,35,7,238,235,2.9,2.87,23.6,79.7,21,81.3,30.3,30.5,49.8
Los Angeles Kings,19881989,80,42,31,7,--,91,0.569,36,42,0,376,335,4.7,4.19,20.7,80.3,17.4,85.7,31.6,33.7,--
New York Rangers,19681969,76,41,26,9,--,91,0.599,41,41,0,231,196,3.04,2.58,--,--,--,--,37.4,28.8,--
Buffalo Sabres,20082009,82,41,32,--,9,91,0.555,31,33,8,242,229,2.95,2.79,21,81.9,19.6,83.9,30.5,31.4,47.4
Detroit Red Wings,20232024,82,41,32,--,9,91,0.555,27,38,3,275,273,3.35,3.33,23.1,79.6,19.4,82.5,29,32.4,50.6
Nashville Predators,20072008,82,41,32,--,9,91,0.555,33,38,3,227,224,2.77,2.73,14.8,85.4,12,87.5,29.6,29.8,50.5
Quebec Nordiques,19841985,80,41,30,9,--,91,0.569,38,41,0,323,275,4.04,3.44,20.9,78.2,17,81.8,30.5,27.6,--
New York Rangers,19781979,80,40,29,11,--,91,0.569,40,40,0,316,292,3.95,3.65,23.9,74.7,20,77.6,30.9,27.8,--
Pittsburgh Penguins,20222023,82,40,31,--,11,91,0.555,31,39,1,261,263,3.18,3.21,21.7,79.1,20,81,34.4,32.8,52.1
Boston Bruins,19951996,82,40,31,11,--,91,0.555,38,40,0,282,269,3.44,3.28,18.7,80.4,16.8,84.2,34.6,26.9,--
Toronto Maple Leafs,20062007,82,40,31,--,11,91,0.555,32,36,4,254,262,3.1,3.2,17.7,78.5,15,79.2,32.7,28.4,51.9
Carolina Hurricanes,20102011,82,40,31,--,11,91,0.555,29,35,5,231,234,2.82,2.85,15.9,81.3,14.2,83.8,30.7,33.2,44.6
Washington Capitals,20232024,82,40,31,--,11,91,0.555,32,36,4,216,252,2.63,3.07,20.6,79,18.4,80.3,26.5,30.5,46.7
St. Louis Blues,19931994,84,40,33,11,--,91,0.542,36,40,0,270,283,3.21,3.37,20.5,81.2,17.1,85.6,30.6,35.1,--
Dallas Stars,20132014,82,40,31,--,11,91,0.555,34,36,4,231,223,2.82,2.72,15.9,81.4,14.1,84.4,31.7,30.4,50.1
New York Islanders,19791980,80,39,28,13,--,91,0.569,39,39,0,281,247,3.51,3.09,23.4,77.6,21.9,79.8,27.7,30,--
Boston Bruins,20092010,82,39,30,--,13,91,0.555,25,29,10,196,191,2.39,2.33,16.6,86.4,15.1,88.6,31.7,29.8,52.6
Boston Bruins,19981999,82,39,30,13,--,91,0.555,37,39,0,214,181,2.61,2.21,17.7,89.2,15.2,90.2,27.6,27.1,51.8
Boston Bruins,19971998,82,39,30,13,--,91,0.555,36,39,0,221,194,2.7,2.37,17.3,84.6,16.4,86.3,27.2,26.4,52
Montréal Canadiens,19581959,70,39,18,13,--,91,0.65,39,39,0,258,158,3.69,2.26,--,--,--,--,--,--,--
St. Louis Blues,20032004,82,39,30,11,2,91,0.555,28,39,0,191,198,2.33,2.41,17.9,84.6,14.7,86.5,27.1,25.6,49.9
New York Islanders,20032004,82,38,29,11,4,91,0.555,36,38,0,237,210,2.89,2.56,16.7,85.5,15.2,88.6,28.5,27.4,49.3
Florida Panthers,20142015,82,38,29,--,15,91,0.555,29,30,8,198,213,2.41,2.6,16.3,80,13.8,80.4,30.7,29.6,48.6
Nashville Predators,20032004,82,38,29,11,4,91,0.555,31,38,0,216,217,2.63,2.65,16.9,81.8,15,85.8,27.2,28.5,48.9
Buffalo Sabres,19981999,82,37,28,17,--,91,0.555,34,37,0,207,175,2.52,2.13,13.5,86.2,11.6,87.7,26.2,30,48
Carolina Hurricanes,20012002,82,35,26,16,5,91,0.555,29,35,0,217,217,2.65,2.65,16.1,83.7,13.3,84.9,28.6,27,56.1
Montréal Canadiens,20062007,82,42,34,--,6,90,0.549,34,36,6,239,251,2.91,3.06,22.8,83.5,21.2,87.6,29.6,32.7,49.5
Montréal Canadiens,19651966,70,41,21,8,--,90,0.643,41,41,0,239,173,3.41,2.47,--,--,--,--,33.7,28,--
Toronto Maple Leafs,20052006,82,41,33,--,8,90,0.549,31,38,3,254,263,3.1,3.21,21.4,80,19,82.9,28.3,30.6,51.6
Atlanta Thrashers,20052006,82,41,33,--,8,90,0.549,31,36,5,276,270,3.37,3.29,18.9,79.2,17.1,81.9,30.8,30.3,50.1
Washington Capitals,20192020,69,41,20,--,8,90,0.652,31,37,4,236,212,3.42,3.07,19.4,82.6,15.3,85.1,32,30.2,48.3
Atlanta Flames,19781979,80,41,31,8,--,90,0.563,41,41,0,327,280,4.09,3.5,23.5,80.7,21.3,82.8,28.3,29.4,--
Montréal Canadiens,19951996,82,40,32,10,--,90,0.549,38,40,0,265,248,3.23,3.02,19,82.2,16.3,86.1,28.8,32.4,--
St. Louis Blues,20092010,82,40,32,--,10,90,0.549,30,33,7,218,218,2.66,2.66,16.9,86.8,15,88.9,29.8,30.2,48.8
Calgary Flames,20092010,82,40,32,--,10,90,0.549,35,37,3,201,203,2.45,2.48,16,82.3,15.3,84.9,28.7,28.9,48
New York Islanders,19851986,80,39,29,12,--,90,0.563,35,39,0,327,284,4.09,3.55,22.7,78.4,19.9,79.5,29.4,33.2,--
New York Rangers,19671968,74,39,23,12,--,90,0.608,39,39,0,226,183,3.05,2.47,--,--,--,--,33.3,28.7,--
Buffalo Sabres,20072008,82,39,31,--,12,90,0.549,30,35,4,251,233,3.06,2.84,18,83.2,15.9,85.9,30.2,28.4,48.6
Toronto Maple Leafs,19601961,70,39,19,12,--,90,0.643,39,39,0,234,176,3.34,2.51,--,--,--,--,31.7,32.2,--
Colorado Avalanche,20142015,82,39,31,--,12,90,0.549,27,29,10,209,223,2.55,2.72,15,84.7,14.2,86.3,27.9,33.2,50.8
Phoenix Coyotes,19992000,82,39,31,8,4,90,0.549,35,39,0,232,228,2.83,2.78,11.9,86,9.7,90.5,27,28.5,50.4
Phoenix Coyotes,19981999,82,39,31,12,--,90,0.549,37,39,0,205,197,2.5,2.4,12,87.1,10.5,89.4,29.2,27.4,49.1
Pittsburgh Penguins,19981999,82,38,30,14,--,90,0.549,31,38,0,242,225,2.95,2.74,17.9,81.5,14.1,84.8,25.5,26,49.2
Buffalo Sabres,19841985,80,38,28,14,--,90,0.563,38,38,0,290,237,3.63,2.96,24.1,82.4,22.5,85.4,28.9,23.8,--
Washington Capitals,20132014,82,38,30,--,14,90,0.549,24,28,10,225,229,2.74,2.79,23.4,82,19.9,83.8,29.4,33.5,48.4
Colorado Avalanche,20182019,82,38,30,--,14,90,0.549,33,36,2,258,244,3.15,2.98,22,78.7,20.3,82,32.6,31.9,48.1
Edmonton Oilers,19891990,80,38,28,14,--,90,0.563,33,38,0,315,283,3.94,3.54,20.6,80.3,19.2,85.6,28.2,29.1,--
Toronto Maple Leafs,20002001,82,37,29,11,5,90,0.549,34,37,0,232,207,2.83,2.52,16.1,85,13.5,85.5,27.8,27.4,52.8
Calgary Flames,20112012,82,37,29,--,16,90,0.549,32,34,3,199,217,2.43,2.65,17.7,84.3,15.4,85.5,27.5,30.8,46.2
Detroit Red Wings,19521953,70,36,16,18,--,90,0.643,36,36,0,222,133,3.17,1.9,--,--,--,--,--,--,--
Vancouver Canucks,20002001,82,36,28,11,7,90,0.549,31,36,0,239,238,2.91,2.9,17.1,80.9,14.4,84,29.7,25.9,46.9
Dallas Stars,20012002,82,36,28,13,5,90,0.549,33,36,0,215,213,2.62,2.6,17.1,81.5,14.9,83.7,28.5,26,52.8
Phoenix Coyotes,20002001,82,35,27,17,3,90,0.549,32,35,0,214,212,2.61,2.59,16.6,85.2,14.9,87.3,25.1,29.6,49.8
Dallas Stars,20112012,82,42,35,--,5,89,0.543,31,35,7,204,218,2.49,2.66,13.5,82.8,12.3,84.5,28.2,30.8,49.1
Los Angeles Kings,20052006,82,42,35,--,5,89,0.543,32,36,6,243,269,2.96,3.28,14.2,78.7,12,81.8,29.2,30,49.9
Columbus Blue Jackets,20142015,82,42,35,--,5,89,0.543,28,33,9,227,248,2.77,3.02,21.7,80.2,19.7,81.9,28.9,33.4,49.3
Philadelphia Flyers,20192020,69,41,21,--,7,89,0.645,31,36,5,227,191,3.29,2.77,20.8,81.8,18.1,85.7,31.4,28.7,54.6
Calgary Flames,19851986,80,40,31,9,--,89,0.556,39,40,0,354,315,4.43,3.94,24.3,76.2,21.4,80,34.6,31.4,--
San Jose Sharks,20142015,82,40,33,--,9,89,0.543,34,36,4,224,226,2.73,2.76,21.7,78.5,19.7,80.3,31.6,29.7,51.9
Minnesota Wild,20082009,82,40,33,--,9,89,0.543,32,35,5,214,197,2.61,2.4,20.1,87.6,18.3,90.7,27.5,30.7,48.5
Buffalo Sabres,20112012,82,39,32,--,11,89,0.543,27,32,7,211,223,2.57,2.72,17.1,81.7,14.3,83.7,29.2,31.4,49.5
Montréal Canadiens,19901991,80,39,30,11,--,89,0.556,36,39,0,273,249,3.41,3.11,18.5,80.9,15.7,83,29.8,29,--
Washington Capitals,19951996,82,39,32,11,--,89,0.543,35,39,0,234,204,2.85,2.49,15.6,82.6,13.9,85.7,30.1,24.9,--
Anaheim Ducks,20092010,82,39,32,--,11,89,0.543,31,34,5,233,243,2.84,2.96,21,79.3,18,81.8,30.1,33.4,48.1
Winnipeg Jets,20212022,82,39,32,--,11,89,0.543,32,37,2,250,253,3.05,3.09,21.1,75,17.8,78.9,32.3,33.2,50.7
Buffalo Sabres,19821983,80,38,29,13,--,89,0.556,38,38,0,318,285,3.98,3.56,21.7,82.3,18.8,86.7,30.1,26.5,--
Pittsburgh Penguins,19741975,80,37,28,15,--,89,0.556,37,37,0,326,289,4.08,3.61,--,--,--,--,34.5,33.9,--
Phoenix Coyotes,20132014,82,37,30,--,15,89,0.543,28,31,6,210,224,2.56,2.73,19.9,79,18.1,80.2,30.5,31,52
Buffalo Sabres,19971998,82,36,29,17,--,89,0.543,33,36,0,211,187,2.57,2.28,12.9,84.3,9.9,87.9,26.5,31.2,47.4
Edmonton Oilers,20032004,82,36,29,12,5,89,0.543,30,36,0,221,208,2.7,2.54,13,81.1,10.7,84.8,28.4,26.5,50.9
Florida Panthers,19961997,82,35,28,19,--,89,0.543,32,35,0,221,201,2.7,2.45,14.2,85.6,9.4,87,29.1,28.8,--
Philadelphia Flyers,20092010,82,41,35,--,6,88,0.537,35,37,4,232,222,2.83,2.71,21.5,83,18.9,84.8,31.6,28.6,50.1
Pittsburgh Penguins,19901991,80,41,33,6,--,88,0.55,37,41,0,342,305,4.28,3.81,22.9,79.2,19.9,82.6,30.2,34,--
Chicago Blackhawks,19891990,80,41,33,6,--,88,0.55,39,41,0,316,294,3.95,3.68,22.9,80.2,20.3,83.1,33,27.4,--
Colorado Avalanche,20112012,82,41,35,--,6,88,0.537,25,32,9,199,218,2.43,2.66,18.4,83,16.6,84.8,31.5,29.6,51.6
Edmonton Oilers,20072008,82,41,35,--,6,88,0.537,22,26,15,220,247,2.68,3.01,16.6,84.7,13.7,86.6,26.3,31.4,50.5
Carolina Hurricanes,20062007,82,40,34,--,8,88,0.537,34,40,0,241,248,2.94,3.02,15,84.6,13.2,87.6,31.2,28.5,52.3
Chicago Blackhawks,20072008,82,40,34,--,8,88,0.537,31,35,5,234,231,2.85,2.82,15.9,82.1,14.3,86.5,28,28.6,52.3
Nashville Predators,20082009,82,40,34,--,8,88,0.537,28,34,6,207,228,2.52,2.78,15.7,82.5,13.2,85.2,29,29.4,52.2
Winnipeg Jets (1979),19861987,80,40,32,8,--,88,0.55,38,40,0,279,271,3.49,3.39,17.3,83.6,14.3,86.1,30.7,27.5,--
New York Islanders,19871988,80,39,31,10,--,88,0.55,36,39,0,308,267,3.85,3.34,22.5,77.4,20.4,79.3,30.2,31.6,--
Philadelphia Flyers,20162017,82,39,33,--,10,88,0.537,25,32,7,212,231,2.59,2.82,19.5,79.8,16.3,81.4,31.5,28.5,52.3
Montréal Canadiens,20092010,82,39,33,--,10,88,0.537,24,32,7,210,218,2.56,2.66,21.8,83,18.8,84.2,28.6,32.1,49.7
Washington Capitals,19931994,84,39,35,10,--,88,0.524,37,39,0,277,263,3.3,3.13,18.1,81.6,15,83.6,31,25.9,--
Vancouver Canucks,20072008,82,39,33,--,10,88,0.537,29,33,6,207,206,2.52,2.51,17.1,82.6,15.2,84.8,27.5,28.9,48.7
Los Angeles Kings,19921993,84,39,35,10,--,88,0.524,37,39,0,338,340,4.02,4.05,20.1,78.5,17,81.5,34,34.4,--
Minnesota North Stars,19831984,80,39,31,10,--,88,0.55,34,39,0,345,344,4.31,4.3,26.8,77.9,24.5,82.3,31.7,32.6,--
Pittsburgh Penguins,20232024,82,38,32,--,12,88,0.537,32,36,2,253,248,3.09,3.02,15.3,80.7,10.7,82.7,32.7,30.2,54.6
Carolina Hurricanes,20002001,82,38,32,9,3,88,0.537,32,38,0,212,225,2.59,2.74,18.9,87.2,14.7,88.9,27,26.9,54.9
Tampa Bay Lightning,19951996,82,38,32,12,--,88,0.537,35,38,0,238,248,2.9,3.02,20.8,84.5,17.5,85.9,31,29.6,--
Detroit Red Wings,19561957,70,38,20,12,--,88,0.629,38,38,0,198,157,2.83,2.24,--,--,--,--,--,--,--
Nashville Predators,20132014,82,38,32,--,12,88,0.537,33,36,2,214,233,2.61,2.84,19.3,80.3,19.3,81.1,29,28.9,53.1
New York Rangers,19741975,80,37,29,14,--,88,0.55,37,37,0,319,276,3.99,3.45,--,--,--,--,33.9,27.9,--
Pittsburgh Penguins,19992000,82,37,31,8,6,88,0.537,34,37,0,241,236,2.94,2.88,15.6,82.6,12.4,84.7,26.1,28.7,48
Boston Bruins,19881989,80,37,29,14,--,88,0.55,34,37,0,289,256,3.61,3.2,19.9,82,18.9,84.7,31.4,26.8,--
